graph_id,label,X,Y,Z
0,0,35.0,11.0,0.0
0,3,45.0,37.0,0.0
0,0,48.0,14.0,0.0
0,0,26.0,29.0,0.0
0,0,18.0,17.0,0.0
0,0,22.0,0.0,0.0
0,0,15.0,41.0,0.0
0,4,39.0,13.0,0.0
0,0,46.0,6.0,0.0
0,3,19.0,3.0,0.0
0,3,6.0,49.0,0.0
0,0,50.0,45.0,0.0
0,0,20.0,2.0,0.0
0,0,8.0,9.0,0.0
0,0,30.0,40.0,0.0
0,0,2.0,31.0,0.0
0,0,11.0,23.0,0.0
0,0,1.0,47.0,0.0
0,0,0.0,25.0,0.0
0,0,44.0,8.0,0.0
0,0,27.0,35.0,0.0
0,0,47.0,20.0,0.0
0,0,37.0,44.0,0.0
0,0,32.0,51.0,0.0
0,0,14.0,16.0,0.0
0,0,40.0,38.0,0.0
0,0,7.0,18.0,0.0
0,0,49.0,5.0,0.0
0,0,3.0,22.0,0.0
0,0,23.0,27.0,0.0
0,0,41.0,48.0,0.0
0,3,36.0,4.0,0.0
0,0,16.0,15.0,0.0
0,0,4.0,36.0,0.0
0,3,5.0,50.0,0.0
0,0,38.0,34.0,0.0
0,0,24.0,26.0,0.0
0,3,51.0,12.0,0.0
0,3,43.0,7.0,0.0
0,0,10.0,33.0,0.0
0,0,28.0,1.0,0.0
0,0,25.0,28.0,0.0
0,3,42.0,39.0,0.0
0,0,34.0,19.0,0.0
0,0,9.0,30.0,0.0
0,3,21.0,43.0,0.0
0,3,29.0,24.0,0.0
0,3,13.0,46.0,0.0
0,0,31.0,21.0,0.0
0,0,12.0,32.0,0.0
0,3,33.0,42.0,0.0
0,0,17.0,10.0,0.0
1,2,8.0,7.0,0.0
1,0,3.0,66.0,0.0
1,2,49.0,19.0,0.0
1,0,31.0,2.0,0.0
1,2,18.0,70.0,0.0
1,0,14.0,68.0,0.0
1,2,0.0,51.0,0.0
1,2,21.0,29.0,0.0
1,0,59.0,33.0,0.0
1,0,15.0,39.0,0.0
1,0,16.0,41.0,0.0
1,2,56.0,35.0,0.0
