graph_id,node_id,label,train_mask,val_mask,test_mask,feat,X,Y,Z
0,0,0.0,,,,0.0,35.0,11.0,0.0
0,1,3.0,,,,3.0,45.0,37.0,0.0
0,2,0.0,,,,0.0,48.0,14.0,0.0
0,3,0.0,,,,0.0,26.0,29.0,0.0
0,4,0.0,,,,0.0,18.0,17.0,0.0
0,5,0.0,,,,0.0,22.0,0.0,0.0
0,6,0.0,,,,0.0,15.0,41.0,0.0
0,7,4.0,,,,4.0,39.0,13.0,0.0
0,8,0.0,,,,0.0,46.0,6.0,0.0
0,9,3.0,,,,3.0,19.0,3.0,0.0
0,10,3.0,,,,3.0,6.0,49.0,0.0
0,11,0.0,,,,0.0,50.0,45.0,0.0
0,12,0.0,,,,0.0,20.0,2.0,0.0
0,13,0.0,,,,0.0,8.0,9.0,0.0
0,14,0.0,,,,0.0,30.0,40.0,0.0
0,15,0.0,,,,0.0,2.0,31.0,0.0
0,16,0.0,,,,0.0,11.0,23.0,0.0
0,17,0.0,,,,0.0,1.0,47.0,0.0
0,18,0.0,,,,0.0,0.0,25.0,0.0
0,19,0.0,,,,0.0,44.0,8.0,0.0
0,20,0.0,,,,0.0,27.0,35.0,0.0
0,21,0.0,,,,0.0,47.0,20.0,0.0
0,22,0.0,,,,0.0,37.0,44.0,0.0
0,23,0.0,,,,0.0,32.0,51.0,0.0
0,24,0.0,,,,0.0,14.0,16.0,0.0
0,25,0.0,,,,0.0,40.0,38.0,0.0
0,26,0.0,,,,0.0,7.0,18.0,0.0
0,27,0.0,,,,0.0,49.0,5.0,0.0
0,28,0.0,,,,0.0,3.0,22.0,0.0
0,29,0.0,,,,0.0,23.0,27.0,0.0
0,30,0.0,,,,0.0,41.0,48.0,0.0
0,31,3.0,,,,3.0,36.0,4.0,0.0
0,32,0.0,,,,0.0,16.0,15.0,0.0
0,33,0.0,,,,0.0,4.0,36.0,0.0
0,34,3.0,,,,3.0,5.0,50.0,0.0
0,35,0.0,,,,0.0,38.0,34.0,0.0
0,36,0.0,,,,0.0,24.0,26.0,0.0
0,37,3.0,,,,3.0,51.0,12.0,0.0
0,38,3.0,,,,3.0,43.0,7.0,0.0
0,39,0.0,,,,0.0,10.0,33.0,0.0
0,40,0.0,,,,0.0,28.0,1.0,0.0
0,41,0.0,,,,0.0,25.0,28.0,0.0
0,42,3.0,,,,3.0,42.0,39.0,0.0
0,43,0.0,,,,0.0,34.0,19.0,0.0
0,44,0.0,,,,0.0,9.0,30.0,0.0
0,45,3.0,,,,3.0,21.0,43.0,0.0
0,46,3.0,,,,3.0,29.0,24.0,0.0
0,47,3.0,,,,3.0,13.0,46.0,0.0
0,48,0.0,,,,0.0,31.0,21.0,0.0
0,49,0.0,,,,0.0,12.0,32.0,0.0
0,50,3.0,,,,3.0,33.0,42.0,0.0
0,51,0.0,,,,0.0,17.0,10.0,0.0
1,0,2.0,,,,2.0,8.0,7.0,0.0
1,1,0.0,,,,0.0,3.0,66.0,0.0
1,2,2.0,,,,2.0,49.0,19.0,0.0
1,3,0.0,,,,0.0,31.0,2.0,0.0
1,4,2.0,,,,2.0,18.0,70.0,0.0
1,5,0.0,,,,0.0,14.0,68.0,0.0
1,6,2.0,,,,2.0,0.0,51.0,0.0
1,7,2.0,,,,2.0,21.0,29.0,0.0
1,8,0.0,,,,0.0,59.0,33.0,0.0
1,9,0.0,,,,0.0,15.0,39.0,0.0
1,10,0.0,,,,0.0,16.0,41.0,0.0
1,11,2.0,,,,2.0,56.0,35.0,0.0
1,12,0.0,,,,0.0,41.0,55.0,0.0
1,13,0.0,,,,0.0,66.0,54.0,0.0
1,14,3.0,,,,3.0,10.0,42.0,0.0
1,15,2.0,,,,2.0,38.0,22.0,0.0
1,16,2.0,,,,2.0,23.0,47.0,0.0
1,17,0.0,,,,0.0,30.0,71.0,0.0
1,18,0.0,,,,0.0,11.0,49.0,0.0
1,19,0.0,,,,0.0,13.0,57.0,0.0
1,20,0.0,,,,0.0,50.0,21.0,0.0
1,21,3.0,,,,3.0,47.0,16.0,0.0
1,22,0.0,,,,0.0,22.0,10.0,0.0
1,23,0.0,,,,0.0,64.0,14.0,0.0
1,24,3.0,,,,3.0,4.0,15.0,0.0
1,25,3.0,,,,3.0,1.0,69.0,0.0
1,26,0.0,,,,0.0,71.0,43.0,0.0
1,27,2.0,,,,2.0,60.0,28.0,0.0
1,28,0.0,,,,0.0,5.0,8.0,0.0
1,29,0.0,,,,0.0,39.0,31.0,0.0
1,30,0.0,,,,0.0,68.0,64.0,0.0
1,31,2.0,,,,2.0,44.0,26.0,0.0
1,32,0.0,,,,0.0,52.0,67.0,0.0
1,33,3.0,,,,3.0,32.0,20.0,0.0
1,34,0.0,,,,0.0,53.0,65.0,0.0
1,35,2.0,,,,2.0,35.0,5.0,0.0
1,36,3.0,,,,3.0,37.0,9.0,0.0
1,37,3.0,,,,3.0,40.0,56.0,0.0
1,38,0.0,,,,0.0,19.0,24.0,0.0
1,39,0.0,,,,0.0,62.0,52.0,0.0
1,40,2.0,,,,2.0,48.0,0.0,0.0
1,41,2.0,,,,2.0,51.0,50.0,0.0
1,42,2.0,,,,2.0,65.0,4.0,0.0
1,43,0.0,,,,0.0,28.0,37.0,0.0
1,44,0.0,,,,0.0,69.0,53.0,0.0
1,45,0.0,,,,0.0,26.0,25.0,0.0
1,46,4.0,,,,4.0,12.0,46.0,0.0
1,47,3.0,,,,3.0,33.0,17.0,0.0
1,48,2.0,,,,2.0,34.0,58.0,0.0
1,49,0.0,,,,0.0,42.0,44.0,0.0
1,50,0.0,,,,0.0,46.0,12.0,0.0
1,51,0.0,,,,0.0,6.0,48.0,0.0
1,52,3.0,,,,3.0,24.0,1.0,0.0
1,53,0.0,,,,0.0,29.0,63.0,0.0
1,54,0.0,,,,0.0,17.0,6.0,0.0
1,55,4.0,,,,4.0,67.0,36.0,0.0
1,56,0.0,,,,0.0,45.0,60.0,0.0
1,57,2.0,,,,2.0,70.0,27.0,0.0
1,58,2.0,,,,2.0,20.0,38.0,0.0
1,59,3.0,,,,3.0,58.0,40.0,0.0
1,60,0.0,,,,0.0,27.0,23.0,0.0
1,61,0.0,,,,0.0,7.0,30.0,0.0
1,62,0.0,,,,0.0,9.0,61.0,0.0
1,63,0.0,,,,0.0,57.0,34.0,0.0
1,64,0.0,,,,0.0,63.0,3.0,0.0
1,65,0.0,,,,0.0,43.0,45.0,0.0
1,66,2.0,,,,2.0,61.0,32.0,0.0
1,67,0.0,,,,0.0,2.0,18.0,0.0
1,68,0.0,,,,0.0,25.0,62.0,0.0
1,69,3.0,,,,3.0,55.0,59.0,0.0
1,70,3.0,,,,3.0,36.0,13.0,0.0
1,71,0.0,,,,0.0,54.0,11.0,0.0
2,0,3.0,,,,3.0,17.0,8.0,0.0
2,1,0.0,,,,0.0,40.0,14.0,0.0
2,2,0.0,,,,0.0,42.0,42.0,0.0
2,3,3.0,,,,3.0,46.0,4.0,0.0
2,4,0.0,,,,0.0,8.0,40.0,0.0
2,5,0.0,,,,0.0,45.0,11.0,0.0
2,6,3.0,,,,3.0,9.0,36.0,0.0
2,7,3.0,,,,3.0,22.0,29.0,0.0
2,8,0.0,,,,0.0,15.0,1.0,0.0
2,9,3.0,,,,3.0,28.0,34.0,0.0
