graph_id,label,train_mask,val_mask,test_mask,feat,X,Y,Z
0,0,,,,,35,11,0
0,3,,,,,45,37,0
0,0,,,,,48,14,0
0,0,,,,,26,29,0
0,0,,,,,18,17,0
0,0,,,,,22,0,0
0,0,,,,,15,41,0
0,4,,,,,39,13,0
0,0,,,,,46,6,0
0,3,,,,,19,3,0
0,3,,,,,6,49,0
0,0,,,,,50,45,0
0,0,,,,,20,2,0
0,0,,,,,8,9,0
0,0,,,,,30,40,0
0,0,,,,,2,31,0
0,0,,,,,11,23,0
0,0,,,,,1,47,0
0,0,,,,,0,25,0
0,0,,,,,44,8,0
0,0,,,,,27,35,0
0,0,,,,,47,20,0
0,0,,,,,37,44,0
0,0,,,,,32,51,0
0,0,,,,,14,16,0
0,0,,,,,40,38,0
0,0,,,,,7,18,0
0,0,,,,,49,5,0
0,0,,,,,3,22,0
0,0,,,,,23,27,0
0,0,,,,,41,48,0
0,3,,,,,36,4,0
0,0,,,,,16,15,0
0,0,,,,,4,36,0
0,3,,,,,5,50,0
0,0,,,,,38,34,0
0,0,,,,,24,26,0
0,3,,,,,51,12,0
0,3,,,,,43,7,0
0,0,,,,,10,33,0
0,0,,,,,28,1,0
0,0,,,,,25,28,0
0,3,,,,,42,39,0
0,0,,,,,34,19,0
0,0,,,,,9,30,0
0,3,,,,,21,43,0
0,3,,,,,29,24,0
0,3,,,,,13,46,0
0,0,,,,,31,21,0
0,0,,,,,12,32,0
0,3,,,,,33,42,0
0,0,,,,,17,10,0
1,2,,,,,8,7,0
1,0,,,,,3,66,0
1,2,,,,,49,19,0
1,0,,,,,31,2,0
1,2,,,,,18,70,0
1,0,,,,,14,68,0
1,2,,,,,0,51,0
1,2,,,,,21,29,0
1,0,,,,,59,33,0
1,0,,,,,15,39,0
1,0,,,,,16,41,0
1,2,,,,,56,35,0
1,0,,,,,41,55,0
1,0,,,,,66,54,0
1,3,,,,,10,42,0
1,2,,,,,38,22,0
1,2,,,,,23,47,0
1,0,,,,,30,71,0
1,0,,,,,11,49,0
1,0,,,,,13,57,0
1,0,,,,,50,21,0
1,3,,,,,47,16,0
1,0,,,,,22,10,0
1,0,,,,,64,14,0
1,3,,,,,4,15,0
1,3,,,,,1,69,0
1,0,,,,,71,43,0
1,2,,,,,60,28,0
1,0,,,,,5,8,0
1,0,,,,,39,31,0
1,0,,,,,68,64,0
1,2,,,,,44,26,0
1,0,,,,,52,67,0
1,3,,,,,32,20,0
1,0,,,,,53,65,0
1,2,,,,,35,5,0
1,3,,,,,37,9,0
1,3,,,,,40,56,0
1,0,,,,,19,24,0
1,0,,,,,62,52,0
1,2,,,,,48,0,0
1,2,,,,,51,50,0
1,2,,,,,65,4,0
1,0,,,,,28,37,0
1,0,,,,,69,53,0
1,0,,,,,26,25,0
1,4,,,,,12,46,0
1,3,,,,,33,17,0
1,2,,,,,34,58,0
1,0,,,,,42,44,0
1,0,,,,,46,12,0
1,0,,,,,6,48,0
1,3,,,,,24,1,0
1,0,,,,,29,63,0
1,0,,,,,17,6,0
1,4,,,,,67,36,0
1,0,,,,,45,60,0
1,2,,,,,70,27,0
1,2,,,,,20,38,0
1,3,,,,,58,40,0
1,0,,,,,27,23,0
1,0,,,,,7,30,0
1,0,,,,,9,61,0
1,0,,,,,57,34,0
1,0,,,,,63,3,0
1,0,,,,,43,45,0
1,2,,,,,61,32,0
1,0,,,,,2,18,0
1,0,,,,,25,62,0
1,3,,,,,55,59,0
1,3,,,,,36,13,0
1,0,,,,,54,11,0
2,3,,,,,17,8,0
2,0,,,,,40,14,0
2,0,,,,,42,42,0
2,3,,,,,46,4,0
2,0,,,,,8,40,0
2,0,,,,,45,11,0
2,3,,,,,9,36,0
2,3,,,,,22,29,0
2,0,,,,,15,1,0
2,3,,,,,28,34,0
2,0,,,,,25,23,0
2,0,,,,,3,43,0
2,3,,,,,24,25,0
2,4,,,,,10,5,0
2,0,,,,,13,10,0
2,3,,,,,1,16,0
2,3,,,,,38,28,0
2,3,,,,,0,22,0
2,0,,,,,26,38,0
2,0,,,,,48,7,0
2,0,,,,,23,46,0
2,0,,,,,44,0,0
2,3,,,,,36,12,0
2,3,,,,,19,27,0
2,3,,,,,34,3,0
2,3,,,,,11,47,0
2,0,,,,,39,13,0
2,0,,,,,30,2,0
2,3,,,,,5,48,0
2,0,,,,,4,44,0
2,3,,,,,16,35,0
2,0,,,,,33,15,0
2,3,,,,,43,6,0
2,3,,,,,18,9,0
2,3,,,,,47,39,0
2,0,,,,,2,17,0
2,3,,,,,27,37,0
2,0,,,,,12,21,0
2,3,,,,,41,31,0
2,0,,,,,29,20,0
2,0,,,,,6,33,0
2,0,,,,,7,18,0
2,3,,,,,21,32,0
2,3,,,,,37,19,0
2,0,,,,,14,41,0
2,0,,,,,32,45,0
2,3,,,,,35,24,0
2,0,,,,,31,30,0
2,3,,,,,20,26,0
3,0,,,,,10,31,0
3,0,,,,,34,44,0
3,0,,,,,1,9,0
3,0,,,,,30,42,0
3,0,,,,,33,45,0
3,0,,,,,15,13,0
3,0,,,,,37,1,0
3,0,,,,,17,36,0
3,3,,,,,13,18,0
3,3,,,,,19,10,0
3,3,,,,,22,19,0
3,3,,,,,0,48,0
3,0,,,,,28,39,0
3,0,,,,,14,30,0
3,0,,,,,8,34,0
3,0,,,,,39,32,0
3,0,,,,,36,28,0
3,3,,,,,41,40,0
3,0,,,,,27,43,0
3,0,,,,,12,5,0
3,0,,,,,48,38,0
3,0,,,,,20,29,0
3,0,,,,,35,2,0
3,0,,,,,45,15,0
3,0,,,,,21,35,0
3,0,,,,,29,0,0
3,0,,,,,44,6,0
3,0,,,,,32,8,0
3,0,,,,,42,23,0
3,3,,,,,43,24,0
3,3,,,,,5,7,0
3,3,,,,,47,46,0
3,4,,,,,23,25,0
3,0,,,,,6,41,0
3,0,,,,,25,27,0
3,0,,,,,26,26,0
3,3,,,,,9,33,0
3,0,,,,,46,20,0
3,3,,,,,3,3,0
3,0,,,,,11,16,0
3,3,,,,,24,12,0
3,0,,,,,38,22,0
3,0,,,,,2,37,0
3,0,,,,,4,21,0
3,0,,,,,16,11,0
3,0,,,,,40,4,0
3,0,,,,,7,17,0
3,3,,,,,18,14,0
3,0,,,,,31,47,0
4,3,,,,,34,16,0
4,3,,,,,59,27,0
4,3,,,,,49,57,0
4,3,,,,,32,70,0
4,0,,,,,16,41,0
4,0,,,,,1,50,0
4,0,,,,,7,38,0
4,3,,,,,5,23,0
4,0,,,,,29,1,0
4,0,,,,,25,20,0
4,3,,,,,39,9,0
4,3,,,,,6,35,0
4,0,,,,,37,32,0
4,0,,,,,56,7,0
4,0,,,,,62,5,0
